,stock,snp500,industry,oil,cci,bci,class,trend_slope_prior,trend_slope_post,sector,cluster
0,A,0.3706598097925943,0.10469886534917372,-0.5795180034391894,0.4726358417553783,0.4938045540346916,no change/RTC,0.02684944171953321,0.11199978915127841,Health Care,8
1,AAL,0.8330185155979682,0.19212773336457958,-0.752323769706464,0.7617159559702051,0.7617701264286403,increasing,0.004536560948179987,0.03697543337796333,Industrials,5
2,AAP,0.3643247586961819,0.13010292961845846,-0.6330594762424439,0.8679854385926049,0.8633854256943013,decreasing/RTC,-0.34198199680873326,0.029155311181714272,Consumer Discretionary,20
3,AAPL,0.5579890341208151,0.193421585969422,-0.05969890244735793,-0.06057246368016505,-0.07294968549162362,increasing,0.21066675821940103,0.21066675821940103,Information Technology,5
4,ABBV,-0.6064070473705674,-0.07105936394040817,0.8348281403334097,-0.6213104790502196,-0.6722276303523872,no change,-0.0022871786089085824,-0.0022871786089085824,Health Care,18
5,ABC,-0.3444450895942151,-0.04522262788060613,0.8194314180369004,-0.8306370491662273,-0.8502299028486965,increasing,0.17817713419596354,0.17817713419596354,Health Care,5
6,ABT,0.8429723237927534,0.12091338940741458,-0.8288908287929486,0.8949136571448306,0.8787513327563325,increasing,0.023597345621591284,0.06556596471908244,Health Care,5
7,ACGL,-0.22136670819943327,-0.15990741824087373,0.6514737087619902,-0.8124499433323248,-0.83469931631957,increasing,0.137803221671812,0.137803221671812,Financials,5
8,ACN,0.925924671557955,0.2671832274315948,-0.8000552994576493,0.8179476905424907,0.816035718703854,decreasing/RTC,-0.059999338785807294,0.2884646260679649,Information Technology,20
9,ADBE,0.8863173197550468,0.26925335179295246,-0.901144532626883,0.7927981285413347,0.8089918981091898,increasing,0.34513726873712225,2.475032819154669,Information Technology,5
10,ADI,0.4444451708672876,0.2177530989444344,-0.04074362802502133,-0.19428755632968311,-0.21753346679335417,increasing,0.19654938497661073,0.19654938497661073,Information Technology,5
11,ADM,-0.6547826737290423,0.12716263421404897,0.870627954571989,-0.6034255888124799,-0.6142028143224401,decreasing,-0.06631880619997554,-0.06631880619997554,Consumer Staples,19
12,ADP,-0.27055174389078024,-0.007243472186639341,0.4536888142253894,-0.4162200588448212,-0.3882440371265803,decreasing/RTC,-0.19344635857476128,0.7317720321116012,Industrials,6
13,ADSK,0.7288750760314264,0.2262565962600686,-0.8832922828138748,0.7462241494511498,0.776030942336486,decreasing/RTC,-0.035701473071466934,0.15250655641646144,Information Technology,20
14,AEE,-0.009915451621147734,0.17456595725741908,0.07759966691391318,0.13721722502696615,0.11251448956951919,no change,-0.007829143632034576,0.014821781831629136,Utilities,4
15,AEP,-0.4568002590711129,0.19480726776212667,0.41938308343697844,-0.17381827214356024,-0.19177917757493165,decreasing/RTC,-0.03924618056326201,-0.02890554455478796,Utilities,6
16,AES,-0.2474897616773948,0.03609876742135537,0.20081486336517157,-0.18009927985528526,-0.15220788692844983,decreasing/RTC,-0.017523733451541533,0.009166717529296875,Utilities,6
17,AFL,-0.23963561658233506,-0.0705280382162846,0.7334427074304315,-0.7372811366319341,-0.7591783613538412,increasing,0.03324095730309014,0.1809780115376586,Financials,5
18,AIG,0.23995983568874366,0.17075314509335585,0.16564143150848265,0.1119185499298454,0.0821987124727404,no change/RTC,0.0007166074437587534,0.13116961008220626,Financials,9
19,AIZ,0.2541480257789639,0.11887574991661057,-0.4941230816917392,0.7306902913859266,0.7325140697436375,decreasing/RTC,-0.21756124025886725,0.2277779049343533,Financials,20
20,AJG,-0.29556041844451714,-0.1799246322879391,0.7278822172298202,-0.8767398166236763,-0.8770292084151179,increasing,0.16715129828100223,0.16715129828100223,Financials,5
21,AKAM,0.7708770089029873,0.1748142240083945,-0.7367214489436534,0.8982589592374154,0.8936076741728615,decreasing/RTC,-0.06673631495591589,0.13796537991227775,Information Technology,20
22,ALB,-0.2949092416017055,-0.020702156935399715,0.15455290913600458,-0.16401927154259766,-0.11451087349383555,decreasing,-0.36509255342404084,-0.36509255342404084,Materials,1
23,ALGN,0.8587515414579492,0.12482560377743994,-0.9306857278576348,0.846009392277701,0.8515286311268693,increasing,0.6540627677895745,0.6540627677895745,Health Care,5
24,ALK,0.8368995609227293,0.190092414638679,-0.6800853722971921,0.7358232121210573,0.7371495630242552,no change/RTC,0.0006512688764543153,0.06366604590133246,Industrials,8
25,ALL,-0.2919704657069325,0.09091793860073921,0.019805071535652006,0.2089940010156817,0.2178568135930928,decreasing,-0.10000002718856023,-0.10000002718856023,Financials,1
26,ALLE,0.8202937416233558,0.22527761128288706,-0.7804080874648422,0.687328490523331,0.6913807623131445,increasing,0.06907669558669582,0.16257656040793225,Industrials,5
27,AMAT,0.9424578534891233,0.3128929223346466,-0.6245399694860618,0.5500253139200957,0.5261274892619214,increasing,0.17709901939456085,0.28405509676252094,Information Technology,5
28,AMCR,-0.0800902993867783,0.06936131853660094,-0.32760442972149323,0.5242573560185243,0.5236917567792763,decreasing,-0.006981946077142044,-0.005161285400390625,Materials,1
29,AMD,0.924563163442748,0.2912556004060608,-0.6901921156298279,0.6509426908488739,0.6320030584663967,increasing/RTC,0.15500001411675912,-0.08237734951110241,Information Technology,12
30,AME,0.43728721471300275,0.2600038142300867,0.08829363918018225,-0.2743304731407978,-0.2903757132435533,increasing,0.14098834991455078,0.14098834991455078,Industrials,5
31,AMGN,-0.7186238109400136,-0.06384313960130437,0.7626445346425661,-0.5844814551423196,-0.5902791759047459,decreasing,-0.12411923839959078,-0.12411923839959078,Health Care,19
32,AMP,0.18214686568820243,0.05111087343878814,0.37586115085891814,-0.40284849665071226,-0.4275424057538255,increasing,0.2243332999093192,0.9283135429261222,Financials,5
33,AMT,0.4681952998972146,0.5284164259202218,-0.7938684748610418,0.8580642572103457,0.8748146459428379,decreasing/RTC,-0.21103473293783595,-0.03614527133885276,Real Estate,20
34,AMZN,0.8515662613053272,0.29019806567719325,-0.8865354224687038,0.8683143636199759,0.8877686833602275,decreasing/RTC,-0.11490813438892884,0.3331973536484906,Consumer Discretionary,20
35,ANET,0.09291721819689777,0.09599509894243229,0.475968102765385,-0.5766152490319937,-0.6077069617402845,increasing,0.2215153087269176,0.49161538691713713,Information Technology,5
36,ANSS,0.9263554458316996,0.3085240624707934,-0.7707002582261042,0.6186678397846119,0.611169039170508,increasing/RTC,0.5630878279036071,0.26856490425441576,Information Technology,12
37,AON,0.24333065861461145,-0.02738897368867156,0.29447533039300816,-0.40335860984447564,-0.4152050240478564,increasing,0.22572541987475403,0.22572541987475403,Financials,5
38,AOS,0.8929299914938005,0.24787803586982762,-0.567265161627062,0.4736640859050015,0.4408863836943687,increasing,0.08866368929545085,0.08866368929545085,Industrials,5
39,APA,-0.683542925480914,0.5985299068474915,0.929158498388641,-0.6503278549211249,-0.6782351347271056,decreasing/RTC,-0.035915089566171454,0.1930227279663086,Energy,3
40,APD,0.2525942919678846,-0.00514118605136553,0.04525354225907389,-0.21536209012704205,-0.2200201759070108,increasing,0.1979706451672466,0.4791290075600553,Materials,5
41,APH,0.5788578077095151,0.2477181001227074,-0.11820955783088392,-0.037234540949538396,-0.04070783892819517,increasing,0.02062744490990822,0.24081150897137532,Information Technology,5
42,APTV,0.8210390358909062,0.3419958411540456,-0.8556408318472938,0.8187643934198651,0.8184725702618084,increasing,0.04876522742988265,0.04876522742988265,Consumer Discretionary,5
43,ARE,0.6516442838396166,0.6004538306525502,-0.7695237247543265,0.9295968977530564,0.924419593773391,decreasing,-0.16178364090720967,-0.16178364090720967,Real Estate,1
44,ATO,-0.44257350606625906,0.18017908603576077,0.8168169037650472,-0.7281120132714023,-0.7604633450716681,increasing,0.02658419468354265,0.02658419468354265,Utilities,5
45,ATVI,-0.11739192106325722,-0.08811557518306325,0.2842846678986842,-0.3644988589756502,-0.358049046722617,increasing,0.02935894904419071,0.2510792298750444,Communication Services,5
46,AVB,0.7811688710106107,0.6098798010875816,-0.7503198977148734,0.9005282240050098,0.892424967325337,increasing,0.029470105087547972,0.029470105087547972,Real Estate,5
47,AVGO,0.34384675181750773,0.15897712019856586,0.24024966351642824,-0.3633347524858038,-0.3910615592635039,increasing,1.0085613532734765,2.4309131915752706,Information Technology,5
48,AVY,0.6397753427568795,0.04835002725967009,-0.8059134643760684,0.6853418187976589,0.7137317152080745,decreasing,-0.04051376647719071,-0.04051376647719071,Materials,1
49,AWK,0.7438716964088441,-0.07597533221453233,-0.8525481920825441,0.8096206977101844,0.8189328346212231,decreasing,-0.021677005365028146,-0.021677005365028146,Utilities,1
50,AXON,0.20296051016681402,0.2057459204918355,0.03028982609385663,-0.3033579956019473,-0.3050608791469028,increasing/RTC,0.6610973384402214,-0.2095940825227019,Industrials,0
51,AXP,0.7107275452160884,0.201227623368353,-0.3123758898339839,0.45743228241023204,0.4188033079232606,increasing,0.09250807813418808,0.09250807813418808,Financials,5
52,AZO,-0.5251425058608661,-0.18698626784536246,0.8607343969749043,-0.9289195415762019,-0.947361803841064,increasing,1.1595195256674429,1.1595195256674429,Consumer Discretionary,5
53,BA,0.6780607456350102,0.27115467051257486,-0.39065574548387005,0.18702725019760635,0.17581983816358054,increasing,0.3987164459193606,0.4787730823863636,Industrials,5
54,BAC,0.66679665642985,0.28425357522589795,-0.7115308910015342,0.89242751470371,0.8882945947851428,decreasing,-0.026147163792451363,-0.026147163792451363,Financials,1
55,BALL,0.7751580491345921,0.11231808051317878,-0.8583944360816759,0.9767787449089431,0.9651341785020416,increasing,0.01335864881189858,0.01335864881189858,Materials,5
56,BAX,0.5921573267849419,0.07012021216847851,-0.7532942195836378,0.9539569769964547,0.951400691528487,decreasing,-0.06809411381566247,-0.06809411381566247,Health Care,1
57,BBWI,0.7967803541563447,0.3261671969693099,-0.8415799891436312,0.8571302260558915,0.8580954341932552,no change,-0.0028733261036224056,-0.0028733261036224056,Consumer Discretionary,11
58,BBY,0.8177553079915895,0.3281739719744027,-0.8242104876156399,0.8466818665108029,0.8480324449352965,increasing,0.02664318778298118,0.02664318778298118,Consumer Discretionary,5
59,BDX,0.3309258112571003,0.04398934298065806,0.09449866181075428,-0.015357335009291205,-0.04796368384509331,increasing,0.11361073338708212,0.11361073338708212,Health Care,5
60,BEN,0.796058910168054,0.25148240882429473,-0.678935580922455,0.6432848779956284,0.626252330044144,increasing,0.009036687007268552,0.009036687007268552,Financials,5
61,BF-B,0.24456244470684838,-0.04099086688162941,-0.42727687295830896,0.3827598213657983,0.4362190023605992,decreasing/RTC,-0.047173130887559145,0.14639999389648437,Consumer Staples,20
62,BG,-0.11897064355159556,0.14353679313004605,0.5766343282073496,-0.1762396897231062,-0.23003986035076204,decreasing/RTC,-0.019294030325753348,0.40921287183408384,Consumer Staples,6
63,BIIB,0.07745084825432022,0.05846509138997645,-0.09219759841763131,-0.23099577526831172,-0.19855977981565814,increasing,0.1316827597818908,0.1316827597818908,Health Care,5
64,BIO,0.6999369820505508,0.10577349329258705,-0.9375563761297865,0.9304659591976108,0.9371288725243022,decreasing,-0.18751507494823044,-0.18751507494823044,Health Care,1
65,BK,0.7741168650112304,0.27824520371606387,-0.7175099746308315,0.782646991434103,0.7600860218105991,increasing,0.008369724772800909,0.008369724772800909,Financials,5
66,BKNG,0.55812621226526,0.22834845893849837,-0.10618965879664995,-0.03597606599115575,-0.07073491102723133,increasing,5.262369295445884,5.262369295445884,Consumer Discretionary,15
67,BKR,-0.11823605451130445,0.4007909025093583,0.5973644916745391,-0.30060165482908535,-0.35984538428905105,increasing,0.030258070524107512,0.14962499936421714,Energy,5
68,BLK,0.8190696388347829,0.2492229574758245,-0.8200874184744619,0.7389339173877962,0.7507021433855109,no change/RTC,0.002775777584661252,1.0323528777387807,Financials,8
69,BMY,-0.7562622041098758,-0.08181237489347647,0.6867461004637614,-0.45398428334929347,-0.4697199538014559,decreasing,-0.026520148874672907,-0.08829717532448147,Health Care,19
70,BR,0.7349184563703434,0.1626789089655095,-0.7576735206359546,0.550170184715623,0.5983630656955072,increasing,0.06022063023930796,0.06022063023930796,Industrials,5
71,BRK-B,0.21989759929234975,-0.013959595609771096,0.42110857439802307,-0.2949288388671837,-0.343889209002388,increasing,0.2859992980957031,0.2859992980957031,Financials,5
72,BRO,0.5958843141323993,0.08635864230653842,-0.15497962937703694,0.20145726044771292,0.19671953872651238,increasing,0.033694672201644474,0.033694672201644474,Financials,5
73,BSX,0.16687903549241162,0.04051676829758571,0.25978588047279516,-0.49772375946458636,-0.5086783121238139,increasing,0.05976356043262341,0.05976356043262341,Health Care,5
74,BWA,0.5040427733277307,0.24039574328705124,-0.11015973594987996,-0.08822290949800612,-0.11270654901752063,increasing,0.054912748790922616,0.054912748790922616,Consumer Discretionary,5
75,BXP,0.566828288364288,0.6051236766563396,-0.688092342169472,0.9384505847494188,0.9286419801445371,decreasing,-0.11815493906773444,-0.11815493906773444,Real Estate,1
76,C,0.7492930830752407,0.25115331033838234,-0.9084294505677228,0.894112357349143,0.9046535418647961,no change,-0.003561219946340897,-0.003561219946340897,Financials,11
77,CAG,-0.4982332237017893,0.10429988289257125,0.6124773897086531,-0.609291151060974,-0.6381653262041137,increasing/RTC,0.018416867618672332,-0.06864056023218298,Consumer Staples,2
78,CAH,-0.3933920333603182,-0.044879024236363384,0.7496293690496314,-0.9232825526907725,-0.9151425216111204,increasing,0.0949405013609827,0.0949405013609827,Health Care,5
79,CARR,0.854390159487082,0.26432488737477994,-0.7173103417137573,0.5387115116978589,0.5521928604488336,increasing,0.029246191544966264,0.3049996693929037,Industrials,5
80,CAT,0.062155509045613094,0.17301778177512414,0.44595762291921415,-0.44256200623929465,-0.4798142060533109,increasing,0.24844742926998414,1.2144629301848235,Industrials,5
81,CB,-0.35945095659277543,-0.00015078690087249962,0.6923831539409755,-0.3843045630513514,-0.43600832765766573,no change,-0.02251438162792688,-0.02251438162792688,Financials,18
82,CBOE,0.29695023611420807,-0.053150925940874394,-0.019402902815420803,-0.347685202808504,-0.3287358010203394,increasing,0.09731483569195493,0.09731483569195493,Financials,5
83,CBRE,0.8630193442412332,0.5456896250027691,-0.7989328336658864,0.8388846813874996,0.830239864010885,increasing,0.028557917646378807,0.028557917646378807,Real Estate,5
84,CCI,0.43815593704366296,0.5730239603000716,-0.6994206617080789,0.8842698943846607,0.8781693663868992,decreasing,-0.19441013887679065,-0.14499986436631945,Real Estate,1
85,CCL,0.8969007466345373,0.32760566429637306,-0.8247978098523273,0.8374158909479906,0.8400288277328098,increasing,0.004736840934084173,0.12225142741963743,Consumer Discretionary,5
86,CDAY,0.7153557535390609,0.2350236259908532,-0.8221375979138994,0.6850992532479323,0.7096186683035683,increasing,0.034110131698878145,0.034110131698878145,Information Technology,5
87,CDNS,0.13610247265334613,0.12608028144505867,0.25854019385046134,-0.5685421722721202,-0.5687888061380836,increasing,0.3199205920589615,0.14167628932643583,Information Technology,5
88,CDW,0.5063168163281445,0.20698557942051904,-0.3641538880686102,0.23297773169726946,0.21709243953261567,increasing,0.0660453976079601,0.0660453976079601,Information Technology,5
89,CE,0.7948098370383805,0.12242589064701133,-0.7907709404329292,0.9307477531819244,0.9063837151188177,increasing,0.05023819874175489,0.333969463001598,Materials,5
90,CEG,-0.6358024447803419,0.10880830946150874,0.8671939604461448,-0.9663211769501313,-0.9480655065966512,decreasing/RTC,-0.062315770199424345,0.3351281973031851,Utilities,3
91,CF,-0.6576034329124948,0.014820595439908617,0.7460512155622294,-0.4590379040135226,-0.46118358411777177,decreasing,-0.17982955412431198,-0.17982955412431198,Materials,19
92,CFG,0.4662744333458877,0.2771843503206488,-0.5525825876823527,0.7932657421387982,0.7785516366721029,decreasing,-0.05115889066790098,-0.05115889066790098,Financials,1
93,CHD,0.6204338124342967,0.09028051722745989,-0.22312336310089478,0.3232521248129311,0.2653978230816893,increasing,0.1124683121410111,0.1124683121410111,Consumer Staples,5
94,CHRW,-0.15610254430862996,-0.10293786391897154,0.25951912037831754,-0.0747417943581871,-0.09957951140849129,decreasing/RTC,-0.018000030517578126,0.03260382016499837,Industrials,6
