stock,weight,sector
A,0.100842,Health Care
AAL,0.027413,Industrials
AAP,0.011513,Consumer Discretionary
AAPL,7.029606,Information Technology
ABBV,0.71589,Health Care
ABC,0.08085,Health Care
ABT,0.488171,Health Care
ACGL,0.075604,Financials
ACN,0.524657,Information Technology
ADBE,0.633263,Information Technology
ADI,0.250262,Information Technology
ADM,0.125923,Consumer Staples
ADP,0.277518,Industrials
ADSK,0.120098,Information Technology
AEE,0.055533,Utilities
AEP,0.111191,Utilities
AES,0.035015,Utilities
AFL,0.111412,Financials
AIG,0.117034,Financials
AIZ,0.019988,Financials
AJG,0.127642,Financials
AKAM,0.042324,Information Technology
ALB,0.059926,Materials
ALGN,0.067186,Health Care
ALK,0.015407,Industrials
ALL,0.07833,Financials
ALLE,0.026291,Industrials
AMAT,0.32591,Information Technology
AMCR,0.038873,Materials
AMD,0.475084,Information Technology
AME,0.097564,Industrials
AMGN,0.374068,Health Care
AMP,0.096433,Financials
AMT,0.23231,Real Estate
AMZN,3.308789,Consumer Discretionary
ANET,0.116641,Information Technology
ANSS,0.069396,Information Technology
AON,0.174008,Financials
AOS,0.024562,Industrials
APA,0.036448,Energy
APD,0.169491,Materials
APH,0.139626,Information Technology
APTV,0.074614,Consumer Discretionary
ARE,0.051238,Real Estate
ATO,0.044761,Utilities
ATVI,0.174052,Communication Services
AVB,0.069158,Real Estate
AVGO,0.940114,Information Technology
AVY,0.04032,Materials
AWK,0.071956,Utilities
AXON,0.038346,Industrials
AXP,0.260163,Financials
AZO,0.121299,Consumer Discretionary
BA,0.360593,Industrials
BAC,0.574103,Financials
BALL,0.047523,Materials
BAX,0.058,Health Care
BBWI,0.023644,Consumer Discretionary
BBY,0.042313,Consumer Discretionary
BDX,0.210242,Health Care
BEN,0.021301,Financials
BF-B,0.033887,Consumer Staples
BG,0.045008,Consumer Staples
BIIB,0.103714,Health Care
BIO,0.022552,Health Care
BK,0.088158,Financials
BKNG,0.318597,Consumer Discretionary
BKR,0.094437,Energy
BLK,0.279458,Financials
BMY,0.344607,Health Care
BR,0.056322,Industrials
BRK-B,1.703767,Financials
BRO,0.04426,Financials
BSX,0.195695,Health Care
BWA,0.026294,Consumer Discretionary
BXP,0.025184,Real Estate
C,0.231018,Financials
CAG,0.039305,Consumer Staples
CAH,0.063573,Health Care
CARR,0.124007,Industrials
CAT,0.391456,Industrials
CB,0.223309,Financials
CBOE,0.041686,Financials
CBRE,0.071066,Real Estate
CCI,0.120988,Real Estate
CCL,0.046506,Consumer Discretionary
CDAY,0.030041,Information Technology
CDNS,0.165424,Information Technology
CDW,0.073345,Information Technology
CE,0.033661,Materials
CEG,0.09201,Utilities
CF,0.041865,Materials
CFG,0.0402,Financials
CHD,0.062289,Consumer Staples
CHRW,0.030288,Industrials
CHTR,0.119041,Communication Services
CI,0.22877,Health Care
CINF,0.045514,Financials
CL,0.170298,Consumer Staples
CLX,0.053001,Consumer Staples
CMA,0.018235,Financials
CMCSA,0.511288,Communication Services
CME,0.19662,Financials
CMG,0.136159,Consumer Discretionary
CMI,0.089595,Industrials
CMS,0.044696,Utilities
CNC,0.096795,Health Care
CNP,0.048382,Utilities
COF,0.112852,Financials
COO,0.049817,Health Care
COP,0.37512,Energy
COST,0.66602,Consumer Staples
CPB,0.023691,Consumer Staples
CPRT,0.099516,Industrials
CPT,0.031703,Real Estate
CRL,0.029597,Health Care
CRM,0.545656,Information Technology
CSCO,0.584771,Information Technology
CSGP,0.087634,Industrials
CSX,0.168241,Industrials
CTAS,0.11317,Industrials
CTLT,0.022301,Health Care
CTRA,0.056397,Energy
CTSH,0.096694,Information Technology
CTVA,0.099683,Materials
CVS,0.25387,Health Care
CVX,0.765764,Energy
CZR,0.031962,Consumer Discretionary
D,0.111107,Utilities
DAL,0.076897,Industrials
DD,0.093247,Materials
DE,0.314127,Industrials
DFS,0.070409,Financials
DG,0.097973,Consumer Staples
DGX,0.039794,Health Care
DHI,0.103102,Consumer Discretionary
DHR,0.45746,Health Care
DIS,0.448093,Communication Services
DLR,0.094163,Real Estate
DLTR,0.082601,Consumer Staples
DOV,0.053306,Industrials
DOW,0.105145,Materials
DPZ,0.037996,Consumer Discretionary
DRI,0.053312,Consumer Discretionary
DTE,0.059177,Utilities
DUK,0.190968,Utilities
DVA,0.016062,Health Care
DVN,0.087137,Energy
DXC,0.012381,Information Technology
DXCM,0.116769,Health Care
EA,0.085129,Communication Services
EBAY,0.062684,Consumer Discretionary
