,stock,class,p_values
0,A,no change/RTC,"[0.06884574012017097, 0.0015595355533100097]"
1,AAL,increasing,"[0.0016444926870957666, 0.00035035524076465485]"
2,AAP,decreasing/RTC,"[0.0, 0.3880001903541528]"
3,AAPL,increasing,"[0.0, 0]"
4,ABBV,no change,"[0.8225105901895444, 0]"
5,ABC,increasing,"[0.0, 0]"
6,ABT,increasing,"[0.001999718523315819, 0.022446545599320133]"
7,ACGL,increasing,"[0.0, 0]"
8,ACN,decreasing/RTC,"[0.0039503499293127575, 6.865357604635136e-07]"
9,ADBE,increasing,"[1.2873635490961988e-09, 0.0]"
10,ADI,increasing,"[0.0, 0]"
11,ADM,decreasing,"[0.0, 0]"
12,ADP,decreasing/RTC,"[0.0, 0.0]"
13,ADSK,decreasing/RTC,"[0.007864175803813156, 0.0005909524493081797]"
14,AEE,no change,"[0.38774451465479776, 0.36609073311279117]"
15,AEP,decreasing/RTC,"[2.2778282854574172e-05, 0.14428532105736758]"
16,AES,decreasing/RTC,"[2.651609332104954e-08, 0.2258996255970538]"
17,AFL,increasing,"[5.774617542497751e-05, 0.0]"
18,AIG,no change/RTC,"[0.917560101723198, 0.0]"
19,AIZ,decreasing/RTC,"[0.0, 3.964047534665838e-08]"
20,AJG,increasing,"[0.0, 0]"
21,AKAM,decreasing/RTC,"[5.551115123125783e-15, 7.408740287928595e-11]"
22,ALB,decreasing,"[0.0, 0]"
23,ALGN,increasing,"[0.0, 0]"
24,ALK,no change/RTC,"[0.904792542403321, 0.02111187641975998]"
25,ALL,decreasing,"[0.0, 0]"
26,ALLE,increasing,"[6.384330375475145e-08, 0.0022638563956434155]"
27,AMAT,increasing,"[0.0, 1.534024018923219e-10]"
28,AMCR,decreasing,"[4.289901767151605e-13, 0.0012709401989363656]"
29,AMD,increasing/RTC,"[4.3076653355456074e-14, 0.10851862756815644]"
30,AME,increasing,"[0.0, 0]"
31,AMGN,decreasing,"[3.019806626980426e-14, 0]"
32,AMP,increasing,"[2.494635846783666e-07, 0.0]"
33,AMT,decreasing/RTC,"[2.220446049250313e-16, 0.2513169688449448]"
34,AMZN,decreasing/RTC,"[5.419121244365499e-05, 0.0]"
35,ANET,increasing,"[0.0, 2.4087052352683713e-09]"
36,ANSS,increasing/RTC,"[0.0, 0.09870135165942129]"
37,AON,increasing,"[0.0, 0]"
38,AOS,increasing,"[0.0, 0]"
39,APA,decreasing/RTC,"[3.4934497954441923e-06, 0.0]"
40,APD,increasing,"[4.149073093318023e-06, 1.1517546694150838e-08]"
41,APH,increasing,"[5.365403075696662e-05, 0.0]"
42,APTV,increasing,"[3.039615914524063e-08, 0]"
43,ARE,decreasing,"[0.0, 0]"
44,ATO,increasing,"[5.195843755245733e-13, 0]"
45,ATVI,increasing,"[2.110165375768247e-10, 6.661338147750939e-16]"
46,AVB,increasing,"[0.03339740617128095, 0]"
47,AVGO,increasing,"[0.0, 2.803826060215897e-10]"
48,AVY,decreasing,"[4.6541381857334585e-06, 0]"
49,AWK,decreasing,"[0.0033859852949384983, 0]"
50,AXON,increasing/RTC,"[0.0, 0.0030709930717027767]"
51,AXP,increasing,"[0.0, 0]"
52,AZO,increasing,"[0.0, 0]"
53,BA,increasing,"[0.0, 4.296518696378371e-11]"
54,BAC,decreasing,"[0.0, 0]"
55,BALL,increasing,"[5.379412341111056e-05, 0]"
56,BAX,decreasing,"[0.0, 0]"
57,BBWI,no change,"[0.4288889329981449, 0]"
58,BBY,increasing,"[7.242593338063763e-05, 0]"
59,BDX,increasing,"[4.440892098500626e-16, 0]"
60,BEN,increasing,"[6.226418448829207e-06, 0]"
